        5	2026-01-01 11:11:52	1	0	1	0
        5	2026-01-01 11:13:58	1	0	1	0
        1	2026-01-01 11:14:41	1	0	1	0
        5	2026-01-01 11:16:10	1	0	1	0
        1	2026-01-01 11:57:12	1	0	1	0
       11	2026-01-01 12:08:30	1	0	1	0
        5	2026-01-01 12:09:08	1	4	1	0
        1	2026-01-01 12:09:44	1	4	1	0
       11	2026-01-02 09:12:52	1	0	1	0
        8	2026-01-02 09:12:55	1	0	1	0
        9	2026-01-02 09:26:17	1	0	1	0
       10	2026-01-02 09:29:58	1	0	1	0
        5	2026-01-02 18:39:19	1	1	1	0
       11	2026-01-02 18:39:27	1	1	1	0
        8	2026-01-02 18:39:32	1	1	1	0
        9	2026-01-02 18:39:59	1	1	1	0
       10	2026-01-02 18:42:02	1	1	1	0
       11	2026-01-03 09:17:35	1	0	1	0
        8	2026-01-03 09:17:55	1	0	1	0
        9	2026-01-03 09:36:32	1	0	1	0
       10	2026-01-03 09:36:35	1	0	1	0
        9	2026-01-03 18:14:58	1	1	1	0
       11	2026-01-03 18:15:07	1	1	1	0
        8	2026-01-03 18:15:09	1	1	1	0
       10	2026-01-03 18:15:16	1	1	1	0
        8	2026-01-05 10:32:29	1	0	1	0
        8	2026-01-05 10:32:30	1	0	1	0
       10	2026-01-05 10:32:34	1	0	1	0
       11	2026-01-05 10:32:40	1	0	1	0
        9	2026-01-05 10:32:56	1	0	1	0
        1	2026-01-05 17:42:22	1	0	1	0
        8	2026-01-05 18:41:14	1	1	1	0
        9	2026-01-05 18:41:20	1	1	1	0
       11	2026-01-05 18:41:28	1	1	1	0
       10	2026-01-05 18:41:35	1	1	1	0
        8	2026-01-06 09:02:01	1	0	1	0
       11	2026-01-06 09:02:31	1	0	1	0
        9	2026-01-06 09:13:57	1	0	1	0
       10	2026-01-06 09:43:54	1	0	1	0
        8	2026-01-06 18:35:27	1	1	1	0
       11	2026-01-06 18:35:39	1	1	1	0
       10	2026-01-06 18:35:45	1	1	1	0
        9	2026-01-06 18:35:52	1	1	1	0
        8	2026-01-07 09:13:07	1	0	1	0
       11	2026-01-07 09:13:14	1	0	1	0
        9	2026-01-07 09:25:09	1	0	1	0
       10	2026-01-07 09:32:33	1	0	1	0
        8	2026-01-07 18:35:49	1	1	1	0
       11	2026-01-07 18:38:48	1	1	1	0
       10	2026-01-07 18:38:57	1	1	1	0
        9	2026-01-07 18:39:53	1	1	1	0
       11	2026-01-08 09:07:58	1	0	1	0
        8	2026-01-08 09:08:03	1	0	1	0
        9	2026-01-08 09:33:48	1	0	1	0
       10	2026-01-08 09:36:23	1	0	1	0
        8	2026-01-08 18:22:32	1	1	1	0
       11	2026-01-08 18:22:38	1	1	1	0
        9	2026-01-08 18:22:44	1	1	1	0
       10	2026-01-08 18:31:02	1	1	1	0
        8	2026-01-09 08:58:42	1	0	1	0
       11	2026-01-09 08:58:44	1	0	1	0
        9	2026-01-09 09:05:30	1	0	1	0
       10	2026-01-09 09:34:21	1	0	1	0
       10	2026-01-09 18:21:37	1	1	1	0
        8	2026-01-09 18:21:49	1	1	1	0
       11	2026-01-10 09:27:19	1	0	1	0
        9	2026-01-10 09:27:24	1	0	1	0
        8	2026-01-10 09:27:36	1	0	1	0
       10	2026-01-10 09:47:11	1	0	1	0
        8	2026-01-10 18:06:58	1	1	1	0
        9	2026-01-10 18:09:27	1	1	1	0
       11	2026-01-10 18:10:47	1	1	1	0
       11	2026-01-10 18:10:49	1	1	1	0
       11	2026-01-10 18:10:51	1	1	1	0
       11	2026-01-10 18:10:53	1	1	1	0
       10	2026-01-10 18:10:57	1	1	1	0
        8	2026-01-11 08:11:23	1	0	1	0
       10	2026-01-11 08:20:36	1	0	1	0
        9	2026-01-12 07:33:13	1	0	1	0
